"","count","gene","sample","ID","strain","mouse","neurons","regions","date"
"128",5,"gria","11","S","BL","2","5","DG","6/30/2014"
"129",7,"gria","11","S","BL","2","5","DG","6/30/2014"
"130",3,"gria","12","T","BL","2","4","Oriens sm","6/30/2014"
"131",0,"gria","12","T","BL","2","4","Oriens sm","6/30/2014"
"132",0,"gria","12","T","BL","2","4","Oriens sm","6/30/2014"
"133",2,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"134",2,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"135",3,"gria","13","U","BL","2","5","CA1 lower","6/30/2014"
"136",0,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"137",3,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"138",0,"gria","14","V","BL","3","3","CA1 upper","7/1/2014"
"139",3,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"140",2,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"141",4,"gria","15","W","BL","3","5","CA1 lower","7/1/2014"
"142",6,"gria","16","Z","BL","3","3","Oriens big","7/1/2014"
"143",18,"gria","16","Z","BL","3","3","Oriens big","7/1/2014"
"144",13,"gria","16","Z","BL","3","3","Oriens big","7/1/2014"
